brand,model,year,color,km,cc,transmission,city,price
Nissan,Qashqai,2019,Gray,74000,1200,Automatic,Maadi,600000
Kia,Sportage,2021,Petroleum,25000,1600,Automatic,6 October,730000
Chery,Tiggo 7,2021,White,40000,1500,Automatic,Tagamo3 - New Cairo,490000
Kia,Sephia,2000,Silver,200000,1500,Manual,Cairo,75000
Chery,Tiggo 7,2021,Gray,88000,1500,Automatic,Tagamo3 - New Cairo,430000
Kia,Cerato,2018,White,119000,1600,Automatic,Gharbia,400000
Hyundai,Tucson Turbo GDI,2021,Champagne,14800,1600,Automatic,Tagamo3 - New Cairo,1150000
Opel,Vectra,1999,Blue,250000,2000,Manual,Giza,105000
Chevrolet,Equinox,2021,Black,5000,1600,Automatic,Nasr city,800000
MG,Rx5,2021,Cyan,30000,1500,Automatic,Hurghada,550000
Nissan,Sunny,2020,Black,60000,1500,Automatic,Mokattam,350000
Nissan,Sunny,2022,Gray,14000,1500,Automatic,Cairo,350000
Hyundai,Verna,2013,White,200000,1600,Manual,Giza,130000
Toyota,Corolla,1997,Gray,245000,1600,Manual,Qalyubia,79000
Kia,Cerato,2015,Light grey,67000,1600,Automatic,Mit Ghamr,435000
Hyundai,Elantra AD,2017,White,196000,1600,Automatic,Mansoura,410000
Toyota,Corolla,2021,Red,14000,1600,Automatic,Agamy,625000
Hyundai,Accent RB,2021,Red,43000,1600,Automatic,Cairo,350000
Renault,Kadjar,2019,Red,22000,1200,Automatic,Abu Qir,650000
Hyundai,Verna,2014,Light grey,26000,1600,Manual,Asyut,220000
Nissan,Qashqai,2013,Black,185000,1600,Automatic,Maadi,325000
Hyundai,Elantra HD,2021,Red,17000,1600,Automatic,Alexandria,430000
Chery,A11,2005,Black,153000,1600,Manual,Cairo,55000
Nissan,Sunny,2007,Dark red,180000,1600,Automatic,6 October,175000
Nissan,Sunny,2021,Gray,53000,1500,Automatic,Cairo,180000
Speranza,A516,2007,Silver,140000,1600,Manual,Cairo,85000
Nissan,Juke,2013,Silver,80000,1500,Automatic,Alexandria,310000
Renault,Sandero Step Way,2019,Silver,51000,1600,Automatic,Nasr city,375000
Chery,Tiggo 7,2022,White,7100,1500,Automatic,Alexandria,575000
Lada,2105,1995,Red,50000,1500,Manual,6 October,45000
Smart,Fortwo,2008,Yellow,45000,1300,Manual,Helwan,67500
Mitsubishi,Lancer Puma,2008,Light grey,230000,1600,Automatic,Mansoura,190000
Byd,F3,2015,Dark red,350000,1500,Manual,Mokattam,140000
Chevrolet,Aveo,2020,Red,48000,1500,Automatic,El Haram,265000
Kia,Sportage,2016,Silver,140000,1600,Automatic,El Marg,580000
Chevrolet,T-Series,2015,White,200000,1600,Manual,Sohag,250000
Mitsubishi,Pajero,2006,Silver,440000,3800,Automatic,Giza,480000
Fiat,Tipo,2020,Red,25000,1600,Automatic,Cairo,450000
Chana,New Star,2019,White,13000,1500,Manual,Bilbeis,140000
MG,ZS,2022,Gray,5800,1500,Automatic,Nasr city,550000
Lada,Granta,2016,Silver,190000,1600,Manual,Ain Shams,100000
Hyundai,Tucson,2019,Champagne,50000,1600,Automatic,Mokattam,670000
Hyundai,Avante,2004,White,130000,1500,Automatic,Kafr el-Sheikh,210000
Renault,Megane,2008,Gold,120000,1600,Automatic,Mansoura,270000
Hyundai,IX 35,2015,White,150000,1600,Automatic,Heliopolis,460000
Kia,Sportage,2020,Red,50000,1600,Automatic,Mansoura,950000
Chevrolet,Optra,2022,Blue,23000,1500,Automatic,Borg el arab,335000
Toyota,Corolla,2020,White,45000,1600,Automatic,Suez,560000
Kia,Sportage,2019,Gold,70000,1600,Automatic,Tanta,750000
Speranza,Tiggo,2017,Gray,84000,1600,Automatic,Minya Al Qamh,255000
Peugeot,408,2012,Gray,133000,1600,Manual,Mokattam,190000
MG,6,2020,White,50000,1500,Automatic,Heliopolis,480000
Kia,Carens,2012,Black,170000,1600,Automatic,6 October,398000
MG,5,2022,Champagne,9000,1500,Automatic,Sheikh Zayed City,450000
Hyundai,Elantra MD,2012,Red,151000,1600,Automatic,Giza,260000
Hyundai,Tucson,2021,Beige,38000,1600,Automatic,Nasr city,920000
Toyota,Corolla,2018,Black,150000,1600,Automatic,Nasr city,460000
Nissan,Qashqai,2013,Dark red,150000,1600,Automatic,Maadi,338000
Kia,Rio,2014,Petroleum,215000,1400,Automatic,6 October,300000
MG,ZS,2021,Black,97000,1500,Automatic,6 October,490000
Peugeot,405,1996,Black,300000,1600,Manual,Alexandria,75000
Suzuki,Maruti,2014,Silver,70000,800,Manual,Banha,66000
Volvo,S60,2018,Blue,95000,1600,Automatic,Tagamo3 - New Cairo,610000
Citroën,C Elysee,2021,Gray,26000,1600,Automatic,Faiyum,430000
Toyota,Rush,2020,Silver,11000,1500,Automatic,Cairo,650000
Speranza,A516,2007,Gray,90000,1600,Manual,Mansoura,100000
Mercedes,E 200,2020,Black,30000,2000,Automatic,Heliopolis,2075000
Chevrolet,T-Series,2000,Green,200000,1600,Manual,Faiyum,125000
Lada,Granta,2017,White,135500,1600,Manual,Damanhur,120000
Hyundai,Solaris,2016,Gray,150000,1400,Automatic,Hurghada,300000
Kia,Cerato,2014,Black,166000,1600,Automatic,Sheraton,380000
Peugeot,3008,2019,Dark red,120000,1600,Automatic,Zagazig,650000
Renault,Duster,2022,Light grey,15000,1600,Automatic,Nasr city,520000
Mercedes,E 200,2015,Black,150000,1800,Automatic,Heliopolis,1200000
Jeep,Cherokee,2009,Black,170000,3700,Automatic,El Haram,320000
Mercedes,200,2022,Black,0,1300,Automatic,Heliopolis,1390000
BMW,X1,2019,White,125000,2000,Automatic,Heliopolis,890000
Jeep,Grand Cherokee,2020,White,29000,5700,Automatic,Heliopolis,1890000
Kia,Cerato,2010,Eggplant,170000,1600,Automatic,Damietta,330000
BMW,520,2015,Silver,209000,2000,Automatic,Tagamo3 - New Cairo,780000
Mazda,Mazda 3,2019,Red,71000,1600,Automatic,El Mahalla,500000
Opel,Insignia,2017,Dark green,162000,1600,Automatic,Alexandria,550000
Kia,Sportage,2013,Black,239000,2400,Automatic,Giza,650000
Hyundai,Elantra CN7,2021,Dark red,60000,1600,Automatic,El Haram,590000
Daewoo,Lanos,2005,White,28000,1500,Manual,Alexandria,105000
Subaru,XV,2021,Gray,34000,1600,Automatic,Imbaba,875000
BMW,750,2006,Black,95000,4000,Automatic,Tagamo3 - New Cairo,650000
Hyundai,Getz,2008,Black,130000,1600,Automatic,Alexandria,185000
Nissan,Qashqai,2022,White,9000,1600,Automatic,Obour City,875000
BMW,318,2011,Silver,98000,2000,Automatic,Tagamo3 - New Cairo,650000
Hyundai,Elantra HD,2018,Gray,110000,1600,Automatic,Tanta,330000
Mitsubishi,Xpander,2022,Gray,32000,1500,Automatic,Zamalek,600000
Hyundai,Avante,2005,Silver,160000,1600,Automatic,Kafr el-Sheikh,225000
Hyundai,Elantra CN7,2022,Blue,8000,1600,Automatic,Asyut,640000
Mitsubishi,Lancer EX Shark,2018,Light grey,15000,1600,Automatic,10th of Ramadan,465000
Kia,Sorento,2008,Black,224000,3300,Automatic,El Salam City,270000
Fiat,Tipo,2020,Dark red,65000,1600,Automatic,6 October,400000
Mercedes,E 280,2006,Silver,200000,3000,Automatic,Madinaty,480000
Volkswagen,Passat,2015,Gold,225000,1400,Automatic,Tagamo3 - New Cairo,400000
Geely,Emgrand X7,2020,Brown,4880,1300,Automatic,Giza,535000
Mercedes,E 200,2013,White,85000,1800,Automatic,Tagamo3 - New Cairo,560000
Hyundai,Elantra HD,2019,Gray,115000,1600,Automatic,Giza,320000
Mitsubishi,Lancer Puma,2007,Black,207000,1600,Automatic,El Manial,195000
Hyundai,Elantra CN7,2021,Dark red,90000,1600,Automatic,Tanta,650000
Peugeot,5008,2022,White,9000,1600,Automatic,Obour City,1250000
Renault,Logan,2015,Silver,140000,1600,Automatic,Madinaty,205000
Volkswagen,Passat,2022,Blue,200,1400,Automatic,Nasr city,1000000
Hyundai,I20,2022,White,11000,1400,Automatic,Alexandria,510000
Geely,Ck2,2008,Black,55000,1500,Manual,El Haram,75000
Jeep,Wrangler,2012,Silver,180000,3600,Automatic,Tagamo3 - New Cairo,720000
Nissan,Sunny,2019,Dark red,103000,1500,Automatic,6 October,270000
Peugeot,5008,2022,White,700,1600,Automatic,Sheikh Zayed City,1200000
BMW,316,2015,Silver,58000,1600,Automatic,Suez,650000
Kia,Cerato,2015,Mocha,153000,1600,Automatic,Beheira,330000
Opel,Mokka,2016,Brown,38000,1500,Automatic,Heliopolis,370000
Renault,Sandero Step Way,2013,Gray,150000,1600,Manual,Cairo,165000
Mercedes,C 180,2015,White,102000,1600,Automatic,Tagamo3 - New Cairo,938000
Opel,Mokka,2022,White,4200,1400,Automatic,6 October,750000
Hyundai,IX 35,2015,Bronze,93000,1600,Automatic,Sharqia,450000
Mercedes,S 350,2011,Black,150000,3500,Automatic,Heliopolis,1150000
Kia,Cerato Koup,2010,Black,130000,1600,Automatic,Obour City,230000
Mercedes,C 200 AMG,2020,White,25000,1600,Automatic,Tagamo3 - New Cairo,1650000
Renault,Logan,2022,Green,23700,1600,Automatic,Giza,360000
Hyundai,Accent RB,2013,Black,189000,1600,Automatic,Heliopolis,310000
Chevrolet,Optra,2021,Silver,63000,1500,Automatic,Nasr city,375000
Daewoo,Lanos,1999,Green,200000,1500,Manual,Ain Shams,87000
BMW,X3,2007,Silver,300000,3600,Automatic,Giza,360000
Hyundai,Accent,2000,Dark red,170000,1500,Manual,Suez,65000
Nissan,Sunny,2012,Gold,115000,1600,Automatic,Nasr city,245000
Kia,Cerato,2022,Light grey,23000,1600,Automatic,Cairo,625000
Honda,Civic,2020,Light grey,45000,1600,Automatic,Ismailia,750000
Toyota,Starlet,1994,Black,199000,1300,Manual,Suez,60000
Mitsubishi,Xpander,2022,Brown,66000,1500,Automatic,Sheikh Zayed City,585000
Isuzu,D max,2015,Silver,251000,3000,Manual,Beheira,355000
Opel,Astra,2015,Black,125000,1600,Automatic,Alexandria,350000
Mercedes,CLS Class,2020,Gray,40000,2000,Automatic,El Katameya,2400000
Chevrolet,Optra,2022,Light grey,27000,1500,Automatic,Heliopolis,360000
Chevrolet,Optra,2010,Black,175000,1600,Automatic,El Haram,180000
Mercedes,E 350,2018,Black,59000,2000,Automatic,Giza,1900000
Peugeot,5008,2022,Light grey,2000,1600,Automatic,Sheraton,1200000
MG,5,2022,Black,7500,1500,Automatic,Suez,480000
Lada,2107,2007,White,117000,1500,Manual,Heliopolis,42000
Isuzu,D max,2019,Black,120000,3000,Manual,Gharbia,650000
Volvo,240,1976,Red,200000,2300,Manual,Cairo,65000
Kia,Sportage,2020,Red,17000,1600,Automatic,Alexandria,770000
Kia,Cerato Koup,2010,Gray,152000,1600,Automatic,Damanhur,300000
Renault,Logan,2021,White,11000,1600,Automatic,Touhk,340000
Kia,Sephia,1999,Dark red,170000,1500,Automatic,Nasr city,85555
Mitsubishi,Eclipse,2018,Black,60000,1500,Automatic,Cairo,550000
Byd,F3,2018,Black,133000,1500,Manual,Mokattam,185000
Nissan,Juke,2016,Black,63000,1600,Automatic,Nasr city,410000
Haval,H6,2022,Blue,12000,1500,Automatic,Giza,600000
Isuzu,D max,2019,Light grey,130000,3000,Manual,Giza,650000
Mercedes,C 180,2019,Black,28500,1600,Automatic,Maadi,1480000
Nissan,Qashqai,2018,Brown,69000,1300,Automatic,Giza,379000
Speranza,A516,2010,Blue,212000,1600,Manual,Al Shorouk,100000
Citroën,C5 Aircross,2021,Black,50000,1600,Automatic,6 October,830000
Kia,Sportage,2020,Light grey,122000,1600,Automatic,Maadi,740000
Kia,Soul,2011,Light grey,95000,1600,Automatic,Ismailia,300000
Chevrolet,Captiva,2020,White,40000,1500,Automatic,Zefta,600000
Skoda,Fantasia,2013,Silver,170000,1600,Automatic,Ismailia,390000
Nissan,Qashqai,2019,Dark red,90000,1200,Automatic,Mohandessin,560000
Kia,Carens,2014,Bronze,119000,1600,Automatic,Giza,445000
Jaguar,XE,2019,White,35000,2000,Automatic,Alexandria,1500000
Mercedes,B 200,2013,Dark red,201000,1600,Automatic,Beni Suef,720000
Hyundai,IX 35,2015,Silver,95000,1600,Automatic,Mohandessin,510000
Fiat,Siena,2002,Cyan,170000,1400,Manual,Alexandria,62000
Audi,Q3,2021,White,60000,1400,Automatic,Tagamo3 - New Cairo,1250000
Volkswagen,Polo,2001,Dark blue,185000,1000,Manual,Cairo,70000
Daihatsu,Grand terios,2012,White,126000,1600,Automatic,Mansoura,397000
Hyundai,Tucson,2022,Blue,23000,1600,Automatic,Al Shorouk,960000
Skoda,Roomster,2008,Light grey,181000,1600,Manual,El Marg,160000
Fiat,Polonez,1988,White,400000,1500,Manual,Cairo,17000
Opel,Astra,2002,Dark green,267000,1600,Manual,Heliopolis,120000
MG,HS,2021,Black,45000,1500,Automatic,6 October,685000
Skoda,Superb,2019,White,95000,1400,Automatic,Mansoura,840000
Opel,Astra,2004,Blue,150000,1600,Automatic,Sheikh Zayed City,120000
Hyundai,Matrix,2011,Silver,168000,1600,Automatic,Dakahlia,270000
Toyota,Corolla,2015,White,158000,1600,Automatic,Borg el arab,480000
Renault,Logan,2015,Gold,165000,1600,Manual,Alexandria,167000
Skoda,Kodiaq,2019,Cyan,63000,1400,Automatic,6 October,950000
Byd,F3,2019,Dark red,200000,1500,Manual,Helwan,230000
Kia,Soul,2017,Black,110000,1600,Automatic,El Mahalla,550000
Toyota,Corolla,2021,Silver,45000,1600,Automatic,Maadi,580000
Renault,Duster,2020,Black,130000,1600,Automatic,El Haram,410000
Ford,Kuga,2018,Gray,110000,1500,Automatic,Tagamo3 - New Cairo,645000
Opel,Astra,2010,Light grey,140000,1600,Automatic,Mokattam,300000
Skoda,Octavia A7,2016,Brown,67000,1600,Automatic,Mansoura,520000
Chery,Arrizo 5,2021,Eggplant,80000,1500,Automatic,Tagamo3 - New Cairo,230000
Hyundai,Tucson,2020,White,170000,1600,Automatic,Mokattam,850000
Hyundai,Matrix,2001,Silver,98000,1500,Automatic,Monufia,195000
Renault,Logan,2020,Silver,29000,1600,Automatic,Tagamo3 - New Cairo,310000
Byd,F3,2020,Gray,190000,1600,Manual,Nasr city,205000
MG,5,2022,Blue,20000,1600,Automatic,Al Shorouk,420000
Peugeot,508,2014,Mocha,174000,1600,Automatic,Beheira,350000
Renault,Kadjar,2018,Silver,106000,1200,Automatic,Helwan,550000
Nissan,Sunny,2014,Black,180000,1500,Automatic,Cairo,195000
Kia,Sportage,2019,Dark red,68000,1600,Automatic,Cairo,860000
Mitsubishi,Pickup,2008,White,25000,1600,Manual,Aswan,90000
Toyota,Corolla,2020,Silver,16000,1600,Automatic,Damietta,630000
Fiat,128,1990,Beige,200000,1300,Manual,Suez,30000
Kia,Xceed,2022,Silver,2200,1500,Automatic,El Mahalla,745000
Infiniti,Fx,2007,Black,100000,3500,Automatic,Tagamo3 - New Cairo,425000
Mercedes,E 250,2014,Gray,65000,2000,Automatic,Heliopolis,1400000
Hyundai,Elantra HD,2012,Dark red,95000,1600,Automatic,Beheira,300000
Kia,Sorento,2020,Brown,85000,3500,Automatic,Madinaty,980000
Hyundai,H1,2015,White,200000,2500,Manual,Tagamo3 - New Cairo,257000
Kia,Saipa,2006,Green,130000,1300,Manual,Zagazig,60000
Nissan,Sentra,2021,Black,67000,1600,Automatic,Tagamo3 - New Cairo,420000
Hyundai,Tucson,2020,White,53000,1600,Automatic,Faiyum,865000
BMW,520,2018,Black,75000,1600,Automatic,Tagamo3 - New Cairo,1380000
Byd,F3,2020,Mocha,125000,1500,Manual,Asyut,215000
Suzuki,Sx4,2016,Dark blue,149000,1600,Automatic,Obour City,325000
Opel,Grandland,2021,Red,66000,1600,Automatic,Cairo,900000
Kia,Sportage,2023,Silver,38000,1600,Automatic,Cairo,760000
Suzuki,Swift Dzire,2022,Silver,15000,1200,Manual,Helwan,257000
Hyundai,Elantra AD,2019,Petroleum,75000,1600,Automatic,Cairo,470000
Jetour,X70,2022,Red,45000,1500,Automatic,Suez,520000
Jac,S3,2019,Black,110000,1600,Automatic,Tagamo3 - New Cairo,370000
Renault,Logan,2015,Silver,135000,1600,Manual,Kafr el-Sheikh,185000
Seat,Ibiza,1990,Black,300000,1600,Manual,Alexandria,32000
Hyundai,Elantra CN7,2021,Black,40000,1600,Automatic,Suez,620000
Lifan,Foison,2015,Silver,100000,1300,Manual,Al Shorouk,95000
Mitsubishi,Xpander,2021,Silver,18500,1500,Automatic,6 October,585000
Fiat,Punto,2000,Dark red,175000,1300,Manual,Nasr city,87000
Fiat,Tipo,2021,Dark red,43000,1600,Automatic,Maadi,440000
Nissan,Sunny,2019,Silver,100000,1500,Automatic,Beni Suef,260000
Nissan,Sunny,2007,Olive,220000,1600,Automatic,Mit Ghamr,170000
Hyundai,IX 35,2015,Black,138000,1600,Automatic,Zagazig,550000
Toyota,Corolla,2020,Silver,7000,1600,Automatic,Tagamo3 - New Cairo,680000
Daewoo,Lanos,2000,Olive,85000,1600,Manual,El Minya,75000
Kia,Soul,2010,Black,176000,1600,Automatic,Tanta,280000
Byd,F3,2014,Dark red,400000,1200,Manual,Luxor,105000
Nissan,Sunny,2017,Silver,55000,1500,Automatic,Tagamo3 - New Cairo,250000
Nissan,Sunny,2022,Red,37000,1500,Manual,El Haram,270000
Nissan,Sunny,2016,Black,125000,1500,Automatic,Dokki,290000
Mitsubishi,Xpander,2022,Red,5000,1500,Automatic,Cairo,650000
Hyundai,Accent RB,2011,Gray,78000,1600,Automatic,Obour City,200000
Opel,Corsa,2005,Gray,280000,1600,Manual,El Manial,120000
Geely,Ck2,2009,Red,200000,1600,Manual,6 October,70000
Skoda,Felicia,2000,White,55000,1300,Manual,Alexandria,60000
Hyundai,Tucson,2021,Dark red,60000,1600,Automatic,Monufia,830000
Skoda,Octavia A7,2015,Black,110000,1600,Automatic,Cairo,450000
Skoda,Octavia A7,2016,Black,110000,1600,Automatic,El Mahalla,600000
Chevrolet,Cruze,2017,Dark blue,90000,1600,Automatic,Nasr city,340000
Hyundai,Verna,2017,Dark red,200000,1600,Manual,El Haram,175000
Kia,Pride,2002,Cyan,150000,1300,Manual,El Haram,70000
Opel,Astra,2020,Light grey,25000,1400,Automatic,Mokattam,430000
Opel,Vectra,1994,Dark blue,130000,1600,Automatic,Qena,65000
Nissan,Juke,2012,Red,119000,1600,Automatic,Alexandria,270000
Daewoo,Nubira 2,2004,Gray,160400,1600,Automatic,Alexandria,120000
Kia,Cerato,2017,Black,72000,1600,Automatic,Qena,410000
Opel,Insignia,2018,White,26000,1600,Automatic,Alexandria,775000
Kia,Sportage,2017,Light grey,110000,1600,Automatic,Mokattam,730000
Peugeot,206,2006,Blue,200000,1500,Manual,Port Said,90000
Mitsubishi,Lancer EX Shark,2016,Silver,60000,1000,Automatic,Maadi,370000
Volkswagen,Tiguan,2020,Silver,20000,1400,Automatic,Nasr city,1030000
Mitsubishi,Eclipse,2018,Red,60000,1500,Automatic,Nasr city,495000
Toyota,Corolla,2020,White,120000,1600,Automatic,Mansoura,650000
Mercedes,GLC 300,2019,Silver,45000,2000,Automatic,Tagamo3 - New Cairo,2500000
Daewoo,Nubira 2,2002,Black,227500,1600,Manual,Cairo,110000
BMW,740,2009,Black,90000,1600,Automatic,Cairo,560000
Fiat,128,1977,White,200000,1100,Manual,Cairo,16000
Mercedes,A 200,2021,Gray,27000,1400,Automatic,Tagamo3 - New Cairo,1400000
Hyundai,I30,2008,Black,250000,1600,Automatic,Cairo,295000
Mercedes,E 200,2021,Black,20000,2000,Automatic,Maadi,2550000
Opel,Insignia,2018,White,70000,1500,Automatic,Damietta,740000
Kia,Cerato,2017,White,200000,1600,Automatic,Beni Suef,380000
Isuzu,D max,2014,Dark red,200000,1600,Manual,Maadi,340000
Daewoo,Leganza,2001,Black,300000,2000,Automatic,Hurghada,90000
Chevrolet,T-Series,2020,Red,110000,1600,Manual,Ain Shams,330000
Skoda,Kodiaq,2022,Green,9000,1400,Automatic,Faiyum,1500000
Toyota,Corolla,2015,Black,150000,1600,Automatic,Cairo,390000
Hyundai,Elantra AD,2020,Gray,63000,1600,Automatic,Giza,500000
Fiat,Uno,1992,Green,200000,1400,Manual,Asyut,50000
Chevrolet,Aveo,2008,Red,260000,1600,Manual,6 October,130000
Chery,Tiggo 3,2021,White,27000,1600,Automatic,Cairo,380000
Kia,Sportage,2020,White,25000,1600,Automatic,Alexandria,850000
Toyota,Corolla,2019,Black,88000,1600,Automatic,Cairo,600000
Mercedes,E 500,2022,Black,5000,3000,Automatic,6 October,4800000
Chevrolet,Lanos,2011,Gray,180000,1500,Manual,Giza,120000
Suzuki,Pickup,2012,White,150000,1600,Manual,Kafr el-Sheikh,75000
Hyundai,Matrix,2008,Silver,250000,1600,Automatic,Nasr city,215000
Mercedes,E 350,2017,Silver,111000,1600,Automatic,Tagamo3 - New Cairo,1700000
Chery,Tiggo 7,2022,White,6000,1600,Automatic,Helwan,670000
Toyota,Yaris,2008,Light grey,105000,1300,Automatic,6 October,235000
Toyota,Corolla,2021,Beige,40000,1600,Automatic,6 October,600000
BMW,316,2011,Gray,213000,1500,Automatic,Nasr city,340000
Suzuki,Alto,2008,Silver,47000,800,Manual,Giza,87000
BMW,320,2013,Brown,160000,2000,Automatic,Tagamo3 - New Cairo,600000
Chevrolet,Lanos,2009,Silver,170000,1500,Manual,Ismailia,110000
Hyundai,Verna,2008,Dark red,137000,1600,Manual,Beheira,122000
Mitsubishi,Lancer EX Shark,2016,Silver,130000,1600,Automatic,Qena,390000
Nissan,Qashqai,2019,Light grey,67000,1200,Automatic,Sharqia,615000
Chery,Arrizo 5,2021,Silver,34000,1500,Automatic,Cairo,295000
Toyota,Corolla,1998,Cyan,200000,1300,Manual,Mansoura,90000
Nissan,Sunny,2020,Red,91000,1500,Automatic,Sheikh Zayed City,340000
Chevrolet,Optra,2022,Gray,10000,1500,Automatic,Tanta,340000
Renault,Clio,2003,Black,100000,1600,Manual,Cairo,60000
Fiat,Tipo,2019,Red,23000,1600,Automatic,Monufia,430000
Skoda,Octavia A4,2000,Black,140500,1600,Automatic,Damietta,165000
Nissan,Qashqai,2021,White,50000,1200,Automatic,Heliopolis,700000
BMW,320,2013,Brown,130000,2000,Automatic,El Haram,590000
Fiat,Tipo,2020,Silver,40000,1600,Automatic,Shobra,440000
DFSK,Glory 330,2022,Silver,43000,1500,Manual,Nasr city,290000
Skoda,Octavia A8,2021,Red,28000,1500,Automatic,Cairo,885000
Nissan,Sunny,2020,Black,55000,1600,Automatic,6 October,330000
Mercedes,C 180,2017,Gray,35000,1600,Automatic,Sharm el-Sheikh,1500000
Renault,Logan,2010,Black,183000,1600,Manual,Alexandria,115000
Opel,Vectra,2007,Gold,90000,1600,Manual,Cairo,220000
Suzuki,Maruti,2008,Gold,109000,800,Manual,Obour City,47000
Opel,Astra,2005,Silver,200000,1600,Manual,Nasr city,90000
Hyundai,Tucson,2019,White,37000,1600,Automatic,Alexandria,720000
Mercedes,C 300,2020,Black,95000,1600,Automatic,Nasr city,1500000
Toyota,Corolla,2019,Silver,90000,1600,Automatic,6 October,550000
Toyota,Corolla,2019,Bronze,75000,1600,Automatic,Giza,560000
Chery,Tiggo 8 Pro,2022,Gray,16500,1500,Automatic,Borg el arab,650000
Toyota,Fortuner,2018,White,55000,4000,Automatic,Marsa Matrouh,1250000
Opel,Grandland,2020,Blue,28500,1600,Automatic,Cairo,895000
BMW,320,2016,Black,105000,1600,Automatic,Tagamo3 - New Cairo,790000
Chery,Tiggo 3,2018,Gray,75000,1600,Automatic,Heliopolis,290000
Hyundai,Creta,2017,Gray,75000,1600,Automatic,Kafr el-Sheikh,335000
Nissan,Sunny,2023,Bronze,4000,1500,Automatic,Alexandria,370000
Renault,Megane,2005,Red,130000,1600,Automatic,Tagamo3 - New Cairo,140000
Seat,Toledo,2018,Black,119000,1600,Automatic,Nasr city,380000
Hyundai,Tucson,2019,Light grey,15000,1600,Automatic,Nasr city,925000
Mercedes,C 180,2019,Gray,49000,1600,Automatic,Heliopolis,1470000
Ford,Focus,2009,Eggplant,188000,1600,Automatic,Maadi,270000
Kia,Cerato,2018,Red,99000,1600,Automatic,6 October,620000
Hyundai,Elantra,2021,Blue,45000,1600,Automatic,Sharqia,650000
Mitsubishi,Lancer EX Shark,2016,Dark red,96000,1600,Automatic,Mansoura,420000
Chevrolet,Lanos,2010,Gray,168000,1500,Manual,Shobra,125000
Fiat,Regata,1985,Gray,200000,1500,Manual,Cairo,22000
Nissan,Sunny,2021,Black,30000,1500,Automatic,Heliopolis,325000
Chery,Tiggo 3,2019,Mocha,46000,1600,Automatic,Heliopolis,320000
Chevrolet,Lanos,2016,Dark red,141000,1500,Manual,Cairo,160000
Hyundai,Elantra AD,2019,Gray,89000,1600,Automatic,Shibin el Kom,455000
Daihatsu,Grand terios,2008,Black,250000,1600,Automatic,Mansoura,260000
Hyundai,Elantra MD,2016,Gray,119000,1600,Automatic,Bilbeis,360000
Hyundai,Elantra AD,2017,Dark red,83000,1600,Automatic,Nasr city,450000
Daihatsu,Charade,1992,White,250000,1000,Manual,Maadi,35000
Hyundai,IX 35,2015,Black,160000,1600,Automatic,Alexandria,500000
Kia,Spectra,2002,Silver,160000,1600,Automatic,Beni Suef,130000
Fiat,Bravo,2009,Cyan,130000,1400,Automatic,Zagazig,215000
Renault,Logan,2017,Black,96000,1600,Automatic,Al Shorouk,230000
Peugeot,405,2007,Silver,100000,1600,Manual,Abu Qir,70000
Kia,Sportage,2022,Red,16000,1600,Automatic,Giza,780000
Hyundai,Creta,2017,Silver,100000,1600,Automatic,Qena,450000
Kia,Sportage,2020,Silver,84000,1600,Automatic,Cairo,750000
Toyota,Corolla,2008,Black,137000,1600,Automatic,El Minya,235000
Chevrolet,Captiva,2021,White,13000,1500,Automatic,6 October,620000
Hyundai,Accent,1999,Red,130000,1300,Manual,Zagazig,65000
Dodge,Neon,2017,White,110000,1600,Automatic,Sharqia,380000
Opel,Astra,2021,Silver,14000,1400,Automatic,Giza,490000
Geely,Emgrand 7,2015,Black,307000,1500,Manual,El Minya,127000
Toyota,Corolla,2012,Light grey,100000,1600,Automatic,Sharqia,300000
Hyundai,Verna,2011,White,67000,1600,Automatic,Beheira,110000
Hyundai,IX 35,2015,Gray,85000,1600,Automatic,Tanta,535000
Seat,Ateca,2020,White,40000,1500,Automatic,Damietta,870000
BMW,316,2015,Silver,170000,1600,Automatic,Cairo,539000
Hyundai,Matrix,2008,Red,150000,1600,Automatic,Monufia,220000
Toyota,Corolla,2014,Blue,130000,1600,Automatic,Monufia,450000
Kia,Carens,2015,Light grey,110000,1600,Automatic,Dikirnis,455000
Peugeot,301,2021,Silver,27500,1600,Automatic,El Haram,355000
Ford,Fusion,2015,Black,170000,1400,Automatic,Alexandria,450000
Jeep,Renegade,2017,Silver,119000,1400,Automatic,Heliopolis,555000
MG,6,2022,Red,35000,1500,Automatic,Mansoura,540000
Chevrolet,Spark,2008,Black,110000,1100,Manual,Cairo,95000
Byd,F3,2021,Red,12000,1500,Manual,Nasr city,260000
Suzuki,Ertiga,2021,Dark red,35000,1400,Automatic,Heliopolis,440000
MG,ZS,2022,Red,12000,1600,Automatic,Maadi,570000
Toyota,Corolla,2022,Green,13000,1600,Automatic,Tagamo3 - New Cairo,765000
Hyundai,Elantra AD,2019,Blue,88000,1600,Automatic,Ain Shams,420000
Opel,Astra,2002,Dark green,200000,1600,Manual,Heliopolis,120000
Kia,Sportage,2020,Silver,34000,1600,Automatic,Monufia,880000
Chevrolet,Aveo,2020,Dark blue,175000,1500,Automatic,Obour City,270000
Opel,Astra,2016,Black,95000,1600,Automatic,Cairo,340000
Chevrolet,Cruze,2016,Black,133000,1600,Automatic,Cairo,285000
